site,x,y,map_category,functional_group,common_name,scientific_name,source_type,source_detail,notes
Ribeira do Mosteiro,-6.908539,41.041487,Bird,"Raptor, cliff-nesting",Egyptian vulture,Neophron percnopterus,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,"Raptor, cliff-nesting",Short-toed snake eagle,Circaetus gallicus,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,"Raptor, cliff-nesting",Booted eagle,Hieraaetus pennatus,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",Same species also confirmed at Vale Carapito
Ribeira do Mosteiro,-6.908539,41.041487,Bird,"Raptor, cliff-nesting",Golden eagle,Aquila chrysaetos,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,"Raptor, cliff-nesting",Peregrine falcon,Falco peregrinus,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,Bird,Red-legged partridge,Alectoris rufa,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,Bird,European turtle dove,Streptopelia turtur,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,Bird,Eurasian hoopoe,Upupa epops,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,Bird,European bee-eater,Merops apiaster,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",
Ribeira do Mosteiro,-6.908539,41.041487,Bird,Songbird,Golden oriole,Oriolus oriolus,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",Same species also confirmed at Vale Carapito
Ribeira do Mosteiro,-6.908539,41.041487,Flora,Woodland tree,Holm oak,Quercus rotundifolia,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",Recolonising old agricultural terraces
Ribeira do Mosteiro,-6.908539,41.041487,Flora,Woodland tree,Juniper,,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)",Species unspecified; recolonising old agricultural terraces
Ribeira do Mosteiro,-6.908539,41.041487,Flora,Woodland tree,Terebinth,Pistacia terebinthus,colleague_confirmed,"Colleague field confirmation, Aug 2026 (originally desk-research pending visit)","Species likely, unconfirmed; recolonising old agricultural terraces"
